"217303","http:\/\/cdn1.nflximg.net\/images\/4399\/2834399.jpg","Addams Family Values","1993","3.6","Comedies","1385884800","Anjelica Huston, Raul Julia, Christopher Lloyd, Joan Cusack, Christina Ricci, Carol Kane, Jimmy Workman, Kaitlyn Hooper, Kristen Hooper, Carel Struycken","Barry Sonnenfeld","In director Barry Sonnefeld's Oscar-nominated black comedy, siblings Wednesday (Christina Ricci) and Pugsley (Jimmy Workman) Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez (Raul Julia) and Morticia (Anjelica Huston). Things go from bad to worse when the new \"black widow\" nanny, Debbie Jellinsky (Joan Cusack), launches her plan to add Fester (Christopher Lloyd) to her collection of dead husbands..."
"232349","http:\/\/cdn1.nflximg.net\/images\/1443\/3781443.jpg","An Affair to Remember","1957","4","Classic Movies","1391241600","Cary Grant, Deborah Kerr, Richard Denning, Neva Patterson, Cathleen Nesbitt, Charles Watts, Fortunio Bonanova","Leo McCarey","Although each is already engaged to another, Nickie Ferrante (Cary Grant) and Terry McKay (Deborah Kerr) meet on an ocean liner and fall deeply in love. Tempting fate, they agree to meet at the Empire State Building in six months if they still feel the same way. But a tragic accident prevents their rendezvous, and the lovers' future takes an uncertain turn. This classic love story was nominated for four Academy Awards, including Best Music."
"553030","http:\/\/cdn1.nflximg.net\/images\/7603\/3917603.jpg","Good Morning, Vietnam","1987","3.8","Comedies","1389772800","Robin Williams, Forest Whitaker, Tung Thanh Tran, Chintara Sukapatana, Bruno Kirby, Robert Wuhl, J.T. Walsh, Noble Willingham","Barry Levinson","When his manic radio show proves a huge morale-booster, Armed Forces Radio disc jockey Adrian Cronauer gets sent to Vietnam, where his monkeyshines -- lampooning any and all sacred cows -- tickle the troops but land him in trouble with his superiors."
"70012575","http:\/\/cdn0.nflximg.net\/images\/8572\/2538572.jpg","28 Up","1985","3.9","TV Shows","1379401200","","Michael Apted","Just two years away from turning 30, participants in Michael Apted's documentary series are facing serious questions of identity and purpose, wondering whether they've found their place in the world."
"541027","http:\/\/cdn0.nflximg.net\/images\/0146\/4240146.jpg","Ghostbusters 2","1989","3.5","Children & Family Movies","1397545200","Bill Murray, Harold Ramis, Dan Aykroyd, Rick Moranis, Sigourney Weaver, Ernie Hudson, Annie Potts, Peter MacNicol, Harris Yulin, David Margulies","Ivan Reitman","This engaging sequel finds the ghostbusting trio saving the Big Apple from a massive slime attack and a flood of evil spirits on New Year's Eve."
